Cluster,People
F,"1,3"
F,"4,11"
F,"2,13"
Yong Thai Hang (24 Cavan Road),"19,20,24,34,40"
F,"19,21,27,28"
F,"24,25"
F,"12,18"
F,"13,26,44"
The Life Church and Missions Singapore (146B Paya Lebar Road),"8,9,31,33,38,83,90,91"
Grand Hyatt Singapore,"30,36,39"
8 Seletar Aerospace Heights,"42,47,52,56,69"
Grace Assembly of God,"48,49,51,53,54,57,58,60,61,62,63,66,67,73,74,78,81"
F,"50,55,65"
C,"59,72"
F,"41,75"
C,"82,86"
C,"76,87"
C,"83,91,66"
Wizlearn Technologies Pte Ltd,"93,95,97,98,99,100,101,105,106,110"
F,"94,96"
F,"66,68,70"
F,"66,71"
C,"50,77"
F,"72,79"
C,"66,80,84,88,91,138,151"
C,"93,101"
F,"101,102,108"
F,"93,103,104"
SAFRA Jurong,"94,96,107,112,114,115,116,117,118,120,121,122,125,127,128,129,130,131,133,134,137,139,140,142,144,145,146,149,150,155,156,157,158,159,160,161,174,218"
C,"109,126"
F,"83,138"
F,"132,143"
C,"107,161"
boulder+ Gym (12 Kallang Avenue),"142,162,163,345,443"
C,"134,164,166"
F,"167,178"
C,"165,169,173,175"
C,"172,184,190"
C,"121,179"
F,"181,182"
C,"166,186,242"
F,"165,200"
C,"107,148,196"
C,"142,211,219,236,283,305"
C,"117,224"
C,"208.214,235"
C,"204,221"
C,"225,237,294,364,368"
F,"186,251"
C,"205,256"
C,"183,252,310"
F,"234,311,335"
F,"267,287"
C,"260,291"
F,"248,303"
F,"227,348"
C,"177,353"
C,"321,359"
C,"318,361"
F,"338,367"
F,"351,388"
F,"350,430"
F,"398,442"
C,"404,451"
C,"94,520"
F,"451,550"
C,"384,553"
PCF Sparkletots Preschool @ Fengshan Blk 126 (126 Bedok North Street 2),"516,521,566,567,572,583,584,601,602,603,604,605,609,610,612,614,617,624,638,660,705,706,707,708,716,746"
F,570.597
C,"527,577"
C,"532,578"
C,"518,580"
C,"523,585"
F,"570,597"
Dover Court International School (301 Dover Road),"556,618,626,662,686,713,729,761,1098"
F,"557,619"
C,"532,630"
C,"453,631"
C,"632,644"
F,"528,645,675,676"
C,"600,668"
C,"477,681"
F,"196,687"
SingPost Centre (10 Eunos Road 8),"581,689,724,740,796,881,1037,1043"
F,"697,698"
C,"404,456,710"
C,"670,714"
C,"658,718,1020"
C,"557,629,726"
C,"533,659,734,795,797"
F,"653,779"
C,"652,780"
C,"722,789"
C,"418,512,791"
C,"729,792"
C,"678,793"
C,"683,799"
F,"742,809,845"
The Wedding Brocade (1 Yishun Industrial Street 1),"745,802,810"
F,"506,811"
F,"787,816"
C,"826,829"
C,"747,836"
F,"533,849"
Wilby Residences (25 Wilby Road),"439,678,793,818,848,864,873,980,1075"
Hero’s (69 Circular Road),"192.556.657,670,813,940,1013,1097"
S11 Dormitory @ Punggol (2 Seletar North Link),"826,829,852,860,946,947,966,979,982,993,1035,1039,1047"
C,"767,861"
F,"727,863,935"
C,"488,865"
F,"434,867"
F,"393,870"
F,"857,887"
F,"889,927"
C,"891,897,921"
C,"788,908"
F,"876,914"
C,"488,916"
Westlite Toh Guan dormitory (18 Toh Guan Road East),"922,924,925,926,934,977,1011,1012,1054,1062,1068,1072,1100,1101,1106,1113"
Lee Ah Mooi Old Age Home (1 Thomson Lane),"918,973,976,983,984,985,986,987,988,989,990,1004,1055"
55 Sungei Kadut Loop,"972,974"
F,"889,927,942"
F,"888,941"
F,"702,703,682,975"
F,"886,991,992"
Mustafa Centre (145 Syed Alwi Road),"616,788,866,908,911,938,1001,1015,1024,1026,1046,1056,1093,1096"
Maxwell MRT station (50 Neil Road),"869,900,1000,1009,1034,1069"
Keppel Shipyard (51 Pioneer Sector 1),"878,898,907,1076"
F,"601,1003"
F,"1008,1030,1031"
Dover Court International School (301 Dover Road),"726,1023"
F,"227,348,1029,1087"
F,"1040,1041"
Ce La Vi (1 Bay Front Avenue),"826,829,852,860,946,947,966,979,982,993,1035,1039,1047,1050,1066,1074,1083,1084,1089,1107,1108,1110,1111,1112"
Singapore Cricket Club (A Connaught Drive),"384,670,728,792,855,1052"
Project Glory (50 Market Street),"956.967,1019,1104"
F,"907,1057"
F,"937,1064"
C,"737,1065"
C,"826,1066"
C,"227,1086"
F,"937,1090"
C,"790,1095"
C,"1031,1103"
C,"887,1105"
